Age,Gender,Income,Education,MaritalStatus,EmploymentStatus,CreditScore,LoanAmount,Debt,PreviousDefault,ResidenceType,Dependents,BankBalance,ExistingLoans,MonthlyExpenses,YearsEmployed,CreditHistoryYears,Approved
27,Male,229802.7,High School,Married,Employed,850.0,3001494.8,608623.91,1,Mortgaged,1,1022896.94,3,58627.51,3.7,3.0,0
25,Female,443637.52,High School,Married,Employed,850.0,3248421.29,0.0,0,Owned,1,360710.66,0,223596.42,8.4,1.1,0
66,Male,342549.34,Bachelors,Married,Employed,850.0,2392152.12,0.0,0,Rented,0,730536.91,0,130485.28,5.7,40.2,0
31,Male,41760.44,Other,Married,Student,673.0,242784.99,380946.33,1,Rented,0,127717.16,1,26804.75,0.0,1.3,1
64,Female,117158.34,Other,Married,Student,850.0,664194.88,0.0,0,With Parents,1,517018.07,0,49269.06,0.0,4.9,1
33,Male,222128.78,Masters,Married,Employed,850.0,1305566.64,0.0,0,Rented,1,1547285.42,0,141938.87,5.9,10.2,1
25,Female,812288.67,Bachelors,Single,Employed,850.0,9876048.73,0.0,0,Rented,3,4048688.77,0,414685.8,5.3,0.6,0
21,Female,921493.74,Masters,Married,Employed,850.0,9682004.76,335438.08,0,Owned,1,2361935.19,1,343648.0,4.7,0.0,0
60,Female,364560.86,High School,Married,Employed,850.0,2301017.0,704979.28,0,Owned,2,1340802.5,1,181347.31,5.5,35.1,1
43,Female,90043.79,Bachelors,Widowed,Student,850.0,350219.18,283900.9,0,Owned,0,335952.02,1,45102.27,0.0,17.6,1
63,Female,115903.32,High School,Single,Self-Employed,850.0,1545928.98,0.0,0,Rented,1,41475.65,0,51956.72,,19.7,0
30,Male,594060.76,Other,Married,Employed,850.0,7818199.36,0.0,0,Rented,2,1700142.29,0,174944.58,22.3,5.0,0
35,Male,341793.27,Other,Widowed,Employed,850.0,3153076.76,624729.73,0,Owned,0,657238.99,1,230947.95,3.3,4.6,0
35,Female,301932.31,Other,Married,Employed,850.0,1242349.38,0.0,0,Rented,1,1407062.34,0,223583.55,11.0,9.2,1
62,Female,171724.0,High School,Divorced,Employed,850.0,717709.88,532169.06,1,Owned,1,0.0,1,45725.78,7.4,10.5,0
44,Female,309201.81,High School,Single,Self-Employed,850.0,2649431.57,1280865.99,0,With Parents,1,582125.26,2,110275.03,5.9,8.2,1
50,Female,800664.04,Bachelors,Married,Self-Employed,850.0,7978907.76,0.0,0,Rented,0,4459429.01,0,202204.84,2.6,3.8,1
34,Male,139464.68,High School,Single,Student,850.0,925704.99,692091.66,0,Owned,1,359259.68,1,79132.17,0.0,10.3,0
60,Male,250700.87,Bachelors,Married,Retired,850.0,1341750.55,1278052.59,0,Rented,2,426793.05,2,110000.53,10.3,6.4,1
44,Female,301760.03,Bachelors,Single,Employed,850.0,3049847.06,0.0,0,Mortgaged,0,1299686.55,0,192040.54,6.2,13.4,1
56,Male,347997.03,Masters,Single,Self-Employed,850.0,4640545.92,469194.36,0,Owned,1,1878808.22,2,154864.38,15.0,18.5,0
61,Female,129706.64,Bachelors,Married,Retired,850.0,1420329.67,1006936.86,0,Rented,2,297651.42,2,90758.56,4.1,17.4,0
50,Male,116485.91,Bachelors,Married,Employed,850.0,573813.6,249902.87,1,Rented,1,241148.18,0,34397.01,4.7,9.9,1
23,Female,144905.29,Masters,Married,Employed,850.0,917356.54,503577.64,0,Mortgaged,2,509646.71,1,41747.04,0.8,0.4,1
47,Male,74572.05,High School,Divorced,Unemployed,850.0,365154.26,0.0,0,Rented,1,263249.69,0,29817.32,0.0,17.8,1
26,Male,536692.39,Masters,Single,Employed,850.0,3266042.04,511160.18,0,Mortgaged,1,1856470.35,1,180576.53,5.1,2.0,1
35,Male,124530.09,High School,Married,Self-Employed,850.0,691083.76,736667.36,0,Owned,0,510379.08,1,69210.73,2.1,4.3,1
33,Female,637510.58,Masters,Divorced,Employed,850.0,7351661.42,0.0,0,Mortgaged,1,591809.3,0,387029.87,13.8,1.3,0
23,Male,420358.29,Bachelors,Single,Retired,850.0,3028887.36,605993.53,0,Owned,2,404319.62,1,258529.53,8.3,0.8,0
31,Male,454649.58,Bachelors,Single,Self-Employed,850.0,5680463.22,296595.06,0,Owned,1,281443.52,1,116352.52,5.8,2.9,0
24,Male,75514.31,High School,Divorced,Self-Employed,850.0,614635.27,701970.58,0,Mortgaged,2,370649.47,1,47338.87,15.0,0.4,0
64,Male,2351885.05,Bachelors,Married,Employed,850.0,12623569.99,1583662.43,0,Owned,2,4832626.64,3,1447566.28,3.3,23.3,0
39,Female,291318.6,Bachelors,Single,Employed,850.0,3971768.08,658852.33,0,Owned,0,1510332.93,1,164155.42,14.6,3.0,0
26,Female,251504.5,Masters,Married,Self-Employed,850.0,2362410.24,343798.02,0,Rented,1,641345.5,1,132582.86,,3.3,0
61,Male,480697.2,Masters,Married,Employed,850.0,4431676.49,204336.1,0,Rented,0,273229.81,1,326472.03,6.9,24.9,0
39,Male,481743.92,Masters,Married,Employed,850.0,1484578.85,290899.49,0,Owned,0,719775.73,1,261763.41,15.1,14.5,1
27,Male,811021.87,Bachelors,Married,Self-Employed,850.0,6539226.58,0.0,0,With Parents,1,871032.3,0,562315.39,8.4,4.3,0
49,Female,153932.01,Bachelors,Married,Employed,850.0,1723381.76,734545.79,0,Owned,1,383117.32,2,106379.69,9.4,19.2,1
43,Female,78189.8,High School,Single,Employed,850.0,571631.69,143783.81,0,Rented,1,250477.26,1,39776.58,1.1,13.3,1
38,Male,169129.46,Masters,Single,Employed,850.0,2183191.51,516089.7,0,Owned,0,501555.24,2,113131.51,3.3,6.3,0
34,Male,399085.69,PhD,Married,Retired,850.0,4071277.3,0.0,0,Owned,0,273000.54,0,264170.65,10.9,3.8,0
52,Male,188386.79,Masters,Single,Employed,850.0,1630981.84,617223.92,0,Mortgaged,0,298853.98,3,89061.44,4.5,21.7,0
58,Female,243562.1,Bachelors,Single,Employed,850.0,1913476.14,346858.04,0,Rented,1,949154.44,2,83319.75,5.5,6.4,0
41,Male,284465.3,Masters,Single,Employed,850.0,2744864.44,1061480.6,0,With Parents,0,1433751.34,2,100692.32,2.3,9.0,1
64,Male,413354.83,Bachelors,Single,Employed,850.0,5494661.78,0.0,0,Mortgaged,1,942673.29,0,130533.13,10.2,7.7,0
48,Male,167784.88,Bachelors,Married,Self-Employed,850.0,2034996.61,0.0,0,Rented,2,809315.29,0,97650.25,7.1,18.0,0
33,Female,410082.65,PhD,Divorced,Self-Employed,850.0,3269468.59,180113.02,1,Owned,0,2154417.42,0,202931.16,12.6,9.6,1
32,Male,295951.69,Other,Single,Employed,850.0,4073129.05,0.0,0,Rented,1,381257.48,0,95291.51,6.0,3.1,0
21,Female,,High School,Divorced,Employed,850.0,3198281.54,928699.04,0,With Parents,3,565629.09,2,203863.63,5.0,0.0,0
52,Male,325304.08,High School,Single,Employed,850.0,767542.3,371980.23,0,Rented,1,1322663.28,1,185057.33,2.7,20.3,1
39,Female,112888.2,Bachelors,Married,Retired,850.0,345875.61,0.0,0,Owned,1,461308.57,0,53165.78,15.4,11.3,1
45,Female,1125228.99,Masters,Divorced,Employed,850.0,13326089.52,623420.5,0,Mortgaged,1,5171553.82,1,841112.38,5.8,16.1,0
21,Male,387387.06,High School,Married,Employed,850.0,3129497.53,0.0,0,Owned,1,793522.94,0,240667.77,4.4,0.0,0
29,Female,295829.98,Bachelors,Married,Employed,850.0,778629.26,1288320.91,0,Mortgaged,1,710266.28,5,156014.5,6.0,1.7,1
37,Female,44660.37,Bachelors,Married,Unemployed,850.0,206307.95,435544.08,0,Owned,1,148126.68,1,29528.0,0.0,8.2,1
63,Male,318881.59,Bachelors,Married,Retired,850.0,1137164.43,0.0,0,Rented,2,790328.27,0,206905.71,5.3,28.9,1
57,Female,849771.41,Masters,Divorced,Employed,850.0,6441579.66,298514.01,1,Rented,0,4040557.0,0,455968.11,6.7,21.7,1
21,Male,901073.06,High School,Single,Employed,850.0,1808331.25,146653.52,0,Mortgaged,1,698189.37,1,603426.27,4.7,0.0,1
21,Female,209422.21,Bachelors,Divorced,Employed,850.0,523434.95,656455.01,0,Rented,0,0.0,1,99306.63,6.6,0.0,1
65,Female,494452.69,Masters,Single,Employed,850.0,3454000.42,1061488.29,0,Rented,0,1924250.44,2,137071.13,2.3,7.0,0
48,Female,72873.38,Bachelors,Divorced,Student,850.0,898741.51,857061.86,0,Owned,1,158970.15,3,32990.38,0.0,20.8,0
38,Male,786194.34,Masters,Married,Employed,850.0,2483799.86,1516789.58,1,Owned,2,4355256.29,2,464936.04,1.7,5.2,1
42,Male,427438.27,Masters,Divorced,Employed,850.0,2552073.57,408093.54,0,Rented,1,2020613.92,3,295513.61,13.7,13.7,1
66,Female,97811.42,Bachelors,Married,Student,850.0,329060.25,0.0,0,With Parents,1,12376.1,0,58727.38,0.0,20.7,0
22,Female,209687.94,Bachelors,Married,Employed,850.0,2735509.1,0.0,0,Rented,2,467012.14,0,83454.99,7.7,0.8,0
58,Female,329495.11,Bachelors,Married,Employed,850.0,1346736.62,0.0,0,Rented,1,1524301.86,0,190452.69,3.9,25.0,1
25,Male,567557.59,Masters,Married,Self-Employed,850.0,7121041.98,0.0,0,Rented,0,2073426.25,0,303533.52,9.0,2.0,0
40,Female,236015.13,Bachelors,Married,Retired,850.0,3164902.92,172102.3,0,Owned,0,256248.65,1,88277.28,2.1,12.4,0
22,Female,92866.99,Bachelors,Widowed,Self-Employed,850.0,982738.9,447564.63,0,Owned,2,231336.13,1,61777.61,24.3,0.8,1
64,Male,759848.4,High School,Married,Employed,850.0,9231018.22,0.0,0,Owned,1,731357.47,0,211258.06,2.0,29.5,0
45,Female,103811.76,Other,Married,Employed,850.0,453019.64,0.0,0,Rented,1,388434.28,0,69006.1,8.8,19.7,1
57,Female,449446.43,Bachelors,Single,Employed,850.0,2872632.59,0.0,0,Owned,0,1714363.53,0,154415.96,,17.1,1
27,Female,176599.85,High School,Widowed,Employed,850.0,1343233.45,1457197.05,0,Owned,1,734456.37,2,131113.73,0.6,1.0,0
32,Male,326651.67,Bachelors,Married,Retired,850.0,2816533.84,382514.12,0,Mortgaged,1,278083.03,1,157083.19,6.3,5.7,0
26,Female,453639.65,Masters,Married,Employed,850.0,942598.94,434062.58,0,Owned,2,1772896.89,1,279418.39,4.7,2.2,1
33,Female,146531.4,High School,Widowed,Employed,850.0,1804178.86,351853.8,0,With Parents,2,263948.92,1,45772.75,0.9,7.0,0
55,Female,297038.78,Bachelors,Single,Employed,850.0,2109175.36,737986.35,0,Owned,0,1378236.55,1,217636.72,9.6,9.3,0
28,Male,208023.05,High School,Divorced,Employed,850.0,1031666.59,578670.84,0,Mortgaged,1,1099086.47,3,62382.6,1.4,3.5,1
55,Male,338108.64,Bachelors,Single,Employed,850.0,3407910.62,1044924.85,1,With Parents,0,871060.2,2,142302.02,3.6,5.6,0
60,Female,338193.81,Bachelors,Married,Employed,850.0,3867712.95,440601.26,0,Mortgaged,2,674209.69,1,107472.95,14.7,32.7,0
27,Female,93706.89,High School,Married,Employed,850.0,948775.19,335004.86,0,Mortgaged,1,262322.82,1,38213.21,7.0,5.3,0
65,Male,341978.57,Bachelors,Married,Employed,850.0,4049294.01,163323.48,0,Rented,0,1117101.43,1,244364.33,7.0,27.3,0
64,Female,243558.12,Bachelors,Married,Self-Employed,850.0,844800.19,171341.52,1,Rented,3,1397443.52,0,112720.63,4.7,23.1,1
64,Male,316705.3,Masters,Married,Employed,850.0,2088805.93,758691.53,1,Mortgaged,0,1641732.86,1,189649.43,17.8,25.3,1
45,Male,157731.65,High School,Single,Employed,850.0,1459188.66,0.0,0,Rented,1,0.0,0,90894.17,5.2,9.5,0
56,Female,260227.5,Bachelors,Married,Employed,850.0,2490248.26,1149351.87,0,With Parents,2,865272.82,2,121709.61,1.8,19.4,1
37,Female,193243.83,Bachelors,Divorced,Retired,850.0,2283012.71,0.0,0,Mortgaged,2,847088.65,0,51755.61,17.8,9.6,0
24,Female,305851.62,Bachelors,Married,Self-Employed,850.0,1048884.41,503422.5,0,Rented,0,422135.04,1,219614.8,1.1,2.5,0
25,Female,137692.38,Masters,Single,Student,850.0,687103.73,656296.16,0,Mortgaged,2,0.0,1,90609.22,0.0,3.5,0
54,Female,134565.81,Bachelors,Married,Employed,850.0,1178592.4,585872.25,0,Owned,1,223087.16,1,35085.35,0.8,4.7,1
45,Male,64115.94,Masters,Married,Unemployed,850.0,400732.06,0.0,0,Rented,0,208480.4,0,16711.35,0.0,12.6,0
69,Male,251186.07,Masters,Married,Retired,850.0,2465527.48,149813.66,0,Rented,1,1256984.05,1,170350.36,4.3,43.1,1
35,Female,84693.43,Bachelors,Married,Student,850.0,650506.19,421314.41,0,Rented,0,134619.83,1,51829.95,0.0,10.0,0
35,Female,305099.55,Bachelors,Married,Employed,850.0,3125552.48,411863.48,0,Rented,1,1609483.31,1,189119.37,9.3,7.5,1
68,Male,141114.29,High School,Married,Employed,850.0,1113037.06,646395.1,0,Rented,5,561565.65,1,75735.35,7.9,39.3,1
34,Male,554735.58,Masters,Married,Employed,850.0,7432126.25,0.0,0,With Parents,0,3202954.41,0,162406.69,13.6,3.3,0
22,Male,257430.09,High School,Single,Employed,850.0,1445576.06,0.0,0,Rented,1,238873.37,0,140899.09,3.0,0.4,0
48,Female,55609.28,Masters,Single,Unemployed,850.0,689391.81,2425714.29,0,Owned,0,107236.25,4,34316.72,0.0,24.2,1
59,Female,301016.38,Masters,Single,Employed,850.0,2338149.33,0.0,0,Rented,0,684998.26,0,201044.13,2.6,18.0,0
33,Male,202794.21,Bachelors,Divorced,Employed,850.0,2498953.1,0.0,0,With Parents,1,234127.1,0,108621.88,3.4,9.8,0
41,Female,442513.43,Bachelors,Single,Self-Employed,850.0,1739588.26,429450.01,0,Rented,3,2634250.98,1,211976.83,4.6,10.5,1
52,Female,1219580.32,Bachelors,Married,Employed,850.0,13650709.88,254160.97,0,Rented,3,6171766.53,2,647621.93,6.3,20.7,0
25,Female,192694.91,High School,Widowed,Employed,850.0,2240246.65,0.0,0,Owned,0,518172.72,0,103146.07,10.3,3.5,0
44,Female,233536.2,Masters,Married,Employed,850.0,3006151.03,1105389.69,0,With Parents,0,132413.6,2,160042.48,3.9,2.7,0
25,Male,168281.92,High School,Single,Self-Employed,850.0,751644.57,860067.84,0,Owned,0,394164.38,2,116129.78,24.9,1.8,1
68,Male,160521.38,High School,Single,Retired,850.0,1153146.31,0.0,0,Rented,1,603957.91,0,105608.2,4.1,19.0,1
21,Female,156738.57,Other,Married,Self-Employed,850.0,844626.07,0.0,0,Owned,2,111205.91,0,80620.13,6.2,0.0,0
58,Male,113318.41,Masters,Divorced,Unemployed,850.0,681186.47,0.0,0,Rented,3,224935.22,0,70859.13,0.0,6.0,0
62,Female,816455.91,Other,Divorced,Employed,850.0,4640723.13,481556.32,0,With Parents,0,4857430.76,1,321678.27,12.4,29.4,1
21,Female,223712.82,Bachelors,Married,Employed,850.0,2308507.21,410947.26,0,With Parents,1,250345.74,1,96925.36,3.6,0.0,0
40,Male,298551.99,High School,Single,Employed,850.0,2906879.94,763063.42,1,Mortgaged,1,1508321.53,1,211692.25,3.1,13.5,0
64,Female,53744.69,High School,Single,Retired,850.0,692270.42,0.0,0,Owned,3,170865.11,0,36652.15,3.2,6.9,1
63,Male,233721.65,High School,Divorced,Employed,850.0,2888323.57,1432232.18,0,Mortgaged,3,1547579.51,2,111985.38,2.7,22.9,0
66,Male,118414.56,High School,Married,Retired,850.0,1005093.47,312046.85,1,Rented,1,0.0,1,61564.8,3.2,40.2,1
51,Male,220570.98,Bachelors,Married,Employed,850.0,2907487.55,368249.16,1,With Parents,1,219752.91,1,151989.53,2.4,15.6,0
61,Female,68237.22,High School,Married,Employed,850.0,605200.63,518336.8,0,Mortgaged,3,202958.15,2,34310.52,16.6,29.6,0
38,Female,378448.93,Bachelors,Single,Employed,850.0,3099085.42,1437073.31,1,Owned,0,2220093.25,2,277019.89,5.6,3.6,1
30,Male,386251.14,Bachelors,Single,Self-Employed,850.0,2566084.18,0.0,0,Owned,1,386417.32,0,210781.56,8.5,4.4,0
56,Female,26309.23,High School,Married,Unemployed,771.0,85105.32,0.0,0,With Parents,0,411975.89,0,11189.7,0.0,26.2,1
47,Male,502791.84,Bachelors,Single,Employed,850.0,5939640.88,1092996.9,0,With Parents,1,2720427.62,2,175483.92,1.1,8.8,0
46,Male,243674.02,Bachelors,Single,Employed,850.0,1926136.8,0.0,0,Mortgaged,0,1331263.89,0,177255.95,5.3,10.8,1
65,Female,77394.8,Bachelors,Single,Unemployed,835.0,872332.23,712190.58,1,Rented,0,,3,29187.25,0.0,9.2,0
69,Male,165322.69,High School,Married,Self-Employed,850.0,1353376.51,130414.85,1,Owned,1,338207.22,0,67645.91,13.5,12.3,0
22,Female,89821.9,High School,Married,Employed,850.0,938455.47,1460312.72,0,Mortgaged,2,309058.35,3,27044.37,3.8,0.3,0
38,Male,719565.73,Bachelors,Married,Self-Employed,850.0,10065617.2,0.0,0,Mortgaged,0,4134088.19,0,407592.22,11.9,5.7,0
26,Male,301940.0,High School,Divorced,Self-Employed,850.0,1048844.97,0.0,0,Mortgaged,3,187632.8,0,89331.89,5.7,3.5,1
40,Male,221964.98,Bachelors,Single,Self-Employed,850.0,2979338.22,0.0,0,Rented,0,527809.64,0,96069.21,3.1,16.8,0
47,Female,119132.22,High School,Widowed,Employed,850.0,1392204.27,905346.02,0,Rented,1,403166.51,2,44507.06,5.4,15.4,0
51,Male,96616.88,High School,Married,Self-Employed,850.0,707497.65,0.0,0,Owned,0,172618.88,0,39748.77,4.9,20.2,1
64,Male,186248.15,Masters,Married,Retired,850.0,1107993.87,581455.18,0,Rented,3,383974.69,1,126541.67,12.0,9.8,0
42,Male,691860.31,Bachelors,Single,Employed,850.0,2629775.62,337417.46,0,With Parents,1,867142.85,1,341776.29,11.8,11.1,1
66,Male,225864.22,Other,Married,Employed,850.0,1755438.86,1411440.53,0,Rented,0,0.0,3,90350.56,2.0,11.3,0
31,Female,52160.22,High School,Divorced,Student,849.0,267410.33,1232900.25,0,Owned,2,234036.38,2,21923.53,0.0,6.6,1
38,Male,185487.8,Bachelors,Married,Employed,850.0,1165257.8,0.0,0,Owned,1,540915.07,0,74354.04,12.2,3.1,0
31,Female,84425.5,Bachelors,Married,Student,850.0,712875.49,142166.49,0,Owned,1,367911.12,1,26137.95,0.0,5.0,1
63,Female,132964.42,High School,Single,Employed,850.0,674055.98,620038.7,0,Rented,1,66792.11,1,69066.78,2.4,12.6,0
56,Female,249468.54,Bachelors,Married,Self-Employed,850.0,2855259.85,630858.96,0,With Parents,0,1064845.88,2,100387.57,12.6,20.0,0
48,Male,209334.34,High School,Divorced,Employed,850.0,584589.92,482472.62,0,Owned,0,1021704.13,1,154276.24,17.3,5.2,1
47,Female,646577.97,Masters,Married,Employed,850.0,7185333.78,631767.97,0,With Parents,1,2655924.47,2,178738.56,11.6,18.5,0
31,Male,557998.36,Masters,Married,Retired,850.0,7383357.38,0.0,0,Rented,1,3295000.8,0,317475.64,5.9,6.4,0
42,Female,513405.65,Bachelors,Divorced,Employed,850.0,3871540.93,476621.11,0,Rented,1,1243094.78,1,322439.66,8.2,2.3,0
37,Female,467352.55,Bachelors,Married,Employed,850.0,3389580.94,0.0,0,With Parents,0,1937924.24,0,175435.15,21.8,2.3,1
44,Male,180412.28,Bachelors,Married,Employed,850.0,2343017.73,385865.38,0,Rented,1,694595.7,1,81249.07,5.0,9.2,0
61,Female,199623.19,Masters,Married,Employed,850.0,2203567.92,0.0,0,Rented,0,118964.93,0,140169.59,3.5,33.6,0
66,Female,285593.23,Masters,Married,Student,850.0,3619023.96,494356.56,0,With Parents,2,0.0,2,101964.44,0.0,21.8,0
56,Female,396050.22,Bachelors,Single,Self-Employed,850.0,2119721.94,0.0,0,Mortgaged,2,1350916.13,0,163514.96,14.9,6.4,1
